Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:es,Short name:es,Synonym 1:es,Description:es,Fully specified name:fr,Short name:fr,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1200
d4739519-5e07-11ef-8f7c-0242ac120002,,,All Observation Templates,All Observation Templates,Root set for Bahmni observation templates,Todas las plantillas de observación,Plantillas de observación,All Observation Templates,Conjunto raíz para plantillas de observación de Bahmni,,,,ConvSet,N/A,,,,,,,,,,,
cd5f6277-5e07-11ef-8f7c-0242ac120002,,"org.openmrs.module.bacteriology:BACTERIOLOGY_CONCEPT_SET",BACTERIOLOGY CONCEPT SET,Bacteriology Concept Set,Root set for bacteriology display controls,Conjunto de bacteriología,Bacteriología,BACTERIOLOGY CONCEPT SET,Conjunto raíz para controles de bacteriología,,,,Misc,N/A,,,,,,,,,,,
cd5fd30b-5e07-11ef-8f7c-0242ac120002,,"org.openmrs.module.bacteriology:SPECIMEN_COLLECTION_DATE;CIEL:159951",Specimen Collection Date,Collection Date,Date when the specimen was collected,Fecha de toma de muestra,Fecha de toma,Specimen Collection Date,Fecha en que se tomó la muestra,,,,Misc,Date,,,,,,,,,,,
cd60e4d3-5e07-11ef-8f7c-0242ac120002,,"org.openmrs.module.bacteriology:SPECIMEN_ID;CIEL:159968",Specimen Id,Id,Specimen identifier used by bacteriology orders,ID de muestra,ID de muestra,Specimen Id,Identificador de muestra usado por órdenes de bacteriología,,,,Specimen,Text,,,,,,,,,,,
d5f4ed56-5e07-11ef-8f7c-0242ac120002,,,Order Attributes,Order Attributes,Root set for order attribute concepts,Atributos de orden,Atributos de orden,Order Attributes,Conjunto raíz para atributos de órdenes,,,,Misc,N/A,,,,,,,,,,,
d718782e-5e07-11ef-8f7c-0242ac120002,,,REGISTRATION_CONCEPTS,Registration Concepts,Root set for registration-related concepts,Conceptos de registro,Conceptos de registro,REGISTRATION_CONCEPTS,Conjunto raíz para conceptos de registro,,,,ConvSet,Numeric,,,,No,,,,,,,
fc25575c-5a8f-402a-a36e-9309d71083a5,,,All Other Drugs,All Other Drugs,Root set for non-coded or implementation-specific drug concepts,Todos los otros medicamentos,Otros medicamentos,All Other Drugs,Conjunto raíz para medicamentos no codificados o propios de la implementación,,,,ConvSet,N/A,,,,,,,,,,,
cd618631-5e07-11ef-8f7c-0242ac120002,,,Bacteriology Results,Results,Set for bacteriology result concepts,Resultados de bacteriología,Resultados,Bacteriology Results,Conjunto para conceptos de resultados de bacteriología,,,,Bacteriology Results,N/A,,,,,,,,,,,
cd615836-5e07-11ef-8f7c-0242ac120002,,,Bacteriology Additional Attributes,Additional Attributes,Set for bacteriology additional attribute concepts,Atributos adicionales de bacteriología,Atributos adicionales,Bacteriology Additional Attributes,Conjunto para atributos adicionales de bacteriología,,,,Bacteriology Attributes,N/A,,,,,,,,,,,
8cb4486a-f81f-454b-8fce-cbf1339d60da,,,Lab Samples,Lab Samples,Root set for laboratory sample concepts,Muestras de laboratorio,Muestras,Lab Samples,Conjunto raíz para conceptos de muestras de laboratorio,,,,ConvSet,N/A,,,,,,,,,,,
05f96c4c-1f81-42a3-b0a2-6d0c4ce6103b,,,Lab Departments,Lab Departments,Root set for laboratory department concepts,Departamentos de laboratorio,Departamentos,Lab Departments,Conjunto raíz para conceptos de departamentos de laboratorio,,,,ConvSet,N/A,,,,,,,,,,,
566bc402-7f6d-4395-bef9-58eb96eebc25,,,Specimen Sample Source,Specimen Sample Source,Specimen sample source for bacteriology,Origen de la muestra,Origen de muestra,Specimen Sample Source,Origen de la muestra para bacteriología,,,,Misc,Coded,,,,,,,,,,,
b5cf7f5f-2649-4236-b49f-9463e5fa3345,,,Consultation Note,Consultation Note,Free text consultation note,Nota de consulta,Nota de consulta,Consultation Note,Nota de consulta en texto libre,,,,Misc,Text,,,,,,,,,,,
