CIEL ID,Concept UUID,Preferred Spanish name,Concept name external_id,OCL name uuid
892,892AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Varicela (enfermedad),0ecba5ac-94ab-57cc-a09b-55ffd9186a36,21ddf570-c07a-5836-8d8e-d99b81861482
1330,1330AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Recuento absoluto de neutrófilos,139e40c0-600d-5782-9b64-879e219b9a0b,93640e5a-7df2-5a21-94cd-bf6292dbfd7b
165152,165152AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Radiografía de tórax, vista única",6ab14f5b-5e51-54f6-9ae3-d35f48c0b56c,f4ab6716-60f4-5a48-a683-7af5dba69174
129510,129510AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Poliuria (hallazgo),41eaef23-0b82-578b-89f9-6b46dd04cb65,fe80a4d7-914e-5a01-a1fb-3f11e6e65d4d
127144,127144AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Escarlatina (enfermedad),c312c844-a1d2-511b-8a51-130537790cc6,a41103bd-0037-5f3e-9769-36944a25c51e
161682,161682AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Retiro de fijación externa (procedimiento),435d3943-1f2f-58a6-983a-bb17a6c24d3f,3cc8eea9-3c1f-54ce-a2a8-9820eb9ebd54
161438,161438AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,pH urinario,dae6d46a-b164-571b-a522-f7b90904b0d8,8605d4e8-48f2-5a8f-bc61-c0838d79952c
160146,160146AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Rabia (enfermedad),c366555c-9cdc-528f-adc2-17b7e63f3fc7,dbd2e86c-0a32-5edb-bfd9-701b00127378
156080,156080AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Tuberculosis resistente a medicamentos (enfermedad),5540e8fd-2c50-526d-bb3c-d9bde54ce065,b3519bea-01a7-5ba6-85cd-beb07d1f3490
115122,115122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Desnutrición (trastorno),e30fbf3c-51bb-5b90-8b91-f952bb36be4b,2ca3dbb4-7d75-5168-b001-47af8f61d1b8
115115,115115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Obesidad (trastorno),9349d2fa-fc9a-5857-a10e-2750f3be715f,c5bc3469-c80f-5a97-9bb9-5324c3831835
