CIEL ID,Concept UUID,English preferred,Spanish name count,Spanish FSN count,Spanish names,Safe unique FSN candidates,Safe unique any-name candidates,All Spanish names have external_id
85498,85498AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Trimethoprim,1,1,Trimetoprima,,,True
84893,84893AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Tetracycline,1,1,Tetraciclina,,,True
83477,83477AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Rofecoxib,1,1,Rofecoxib,,,True
83356,83356AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Rifampin,1,0,Rifampicina,,,True
83189,83189AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Remoxipride,1,1,Remoxiprida,,,True
82384,82384AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Povidone-iodine,1,1,Yodopovidona,,,True
143814,143814AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Congenital myotonia, autosomal recessive form",1,1,"miotonía congénita, forma autosómica recesiva",,,True
80236,80236AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Mycophenolic acid,1,1,Ácido micofenólico,,,True
79197,79197AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Macrogol 3350,1,1,Macrogol 3350,,,True
78338,78338AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Itraconazole,1,1,Itraconazol,,,True
78326,78326AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Isoxsuprine,1,1,Isoxsuprina,,,True
78275,78275AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Isometheptene mucate,1,0,Mucato de isometepteno,,,True
77329,77329AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Halofantrine,1,1,Halofantrina,,,True
77241,77241AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Guanidine,1,1,Guanidina,,,True
76669,76669AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Fosphenytoin (as phenytoin equivalent),1,0,Fosfofenitoína,,,True
76664,76664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Fosfomycin,1,1,Fosfomicina,,,True
76335,76335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ferrous fumarate,1,1,Fumarato ferroso,,,True
76174,76174AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Famciclovir,1,1,Famciclovir,,,True
76005,76005AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ethynodiol,1,1,Etinodiol,,,True
75535,75535AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Eflornithine,1,1,Eflornitina,,,True
75222,75222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Doxycycline,1,1,Doxiciclina,,,True
75015,75015AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Diphenhydramine,1,1,Difenhidramina,,,True
74663,74663AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Dextroamphetamine,1,1,Dextroanfetamina,,,True
73870,73870AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Copper chloride,1,0,Cloruro de cobre,,,True
73624,73624AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Clotrimazole,1,1,Clotrimazol,,,True
73597,73597AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Clonidine,1,1,Clonidina,,,True
73300,73300AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Chloroquine,1,1,Cloroquina,,,True
73138,73138AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cetrimide,1,1,Cetrimida,,,True
73032,73032AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cefsulodin,1,1,Cefsulodina,,,True
72166,72166AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bichloroacetic acid,1,0,Ácido dicloroacético,,,True
71451,71451AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Apomorphine,1,1,Apomorfina,,,True
71193,71193AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Amprenavir,1,1,Amprenavir,,,True
71130,71130AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Amitriptyline,1,0,Amitriptilina,,,True
71107,71107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Aminosalicylic acid,1,1,Ácido aminosalicílico,,,True
14,14AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Diarrhea, amoebiasis",1,0,Disentería amebiana,,,True
70991,70991AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Aluminum hydroxide,1,1,Hidróxido de aluminio,,,True
70073,70073AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Acamprosate,1,1,Acamprosato,,,True
6004,6004AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Paresthesia,1,1,Parestesia,,,True
60,60AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Meningitis,1,0,Meningitis,,,True
541,541AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Posterior,1,1,Posterior,,,True
138680,138680AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Herpetiform aphthous stomatitis,1,1,estomatitis aftosa herpetiforme,,,True
5209,5209AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Wheeze,1,0,Sibilancias,,,True
5153,5153AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Liver size,1,1,Tamaño del hígado,,,True
5115,5115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Diminished breath sounds,2,1,ruidos respiratorios disminuidos | Disminución de los ruidos respiratorios,,,True
47,47AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Pregnancy, hypertension associated",1,0,Hipertensión gestacional,,,True
461,461AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Multivitamin,1,0,Preparado multivitamínico,,,True
460,460AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Oedema,1,0,Edema,,,True
260,260AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Chlorpropramide,1,0,Clorpropamida,,,True
206,206AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Seizure,1,1,Convulsión,,,True
1935,1935AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Wound dressing,1,0,Vendaje de herida,,,True
182,182AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cyst,1,1,Quiste,,,True
136123,136123AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Laryngeal pachydermia,1,1,paquidermia laríngea,,,True
166844,166844AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Tactile hypesthesia,1,1,Hipoestesia táctil,,,True
166575,166575AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Date of birth,1,1,Fecha de nacimiento,,,True
166574,166574AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Middle name,1,1,Segundo nombre,,,True
166560,166560AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Biopsy of endocervix,1,0,Biopsia endocervical,,,True
132535,132535AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Obstructed umbilical hernia,1,1,hernia umbilical obstruida,,,True
166103,166103AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Last name,1,1,Apellido,,,True
166102,166102AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,First name,1,1,Nombre de pila,,,True
165198,165198AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Country of residence,1,1,País de residencia,,,True
164929,164929AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Active status,1,0,Activo,,,True
164770,164770AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Excision of left ovary,1,0,Ooforectomía izquierda,,,True
163886,163886AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Injury of perineum,1,0,Lesión traumática del perineo,,,True
163859,163859AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Urine ascites,1,0,Ascitis por orina,,,True
163805,163805AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Abscess,1,0,Absceso,,,True
163582,163582AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Rectal exam findings,1,0,Examen rectal,,,True
1291,1291AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Tin,1,1,Estaño,,,True
162885,162885AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,United States of America,1,0,Estados Unidos de América,,,True
162763,162763AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Vial(s),1,0,Vial,,,True
162697,162697AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Eligible for clinical trial,1,0,Paciente apto para ensayo clínico,,,True
162377,162377AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Syringe,1,1,Jeringa,,,True
162317,162317AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Hypothermia of newborn,1,0,Hipotermia del recién nacido,,,True
162295,162295AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Streptomycin sulfate,1,0,Sulfato de estreptomicina,,,True
161832,161832AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pelvic lymphadenectomy,1,1,Linfadenectomía pélvica,,,True
160183,160183AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Superficial injury of hip,1,1,Lesión traumática superficial de la cadera,,,True
159591,159591AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Knee Arthritis,1,0,Artritis de rodilla,,,True
159534,159534AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Normal sensation,1,1,Sensación normal,,,True
159523,159523AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Family history of epilepsy,1,0,Antecedente familiar de epilepsia,,,True
159310,159310AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Walking,1,1,Caminar,,,True
159241,159241AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Unspecified maternal hypertension, unspecified as to episode of care, or not applicable",1,0,Hipertensión materna,,,True
159170,159170AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",1,0,"Tuberculosis de laringe, tráquea y bronquios, con confirmación bacteriológica e histológica",,,True
159115,159115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,traumatic amputation of two or more fingers alone (complete) (partial),1,0,"Amputación traumática, varios dedos de la mano",,,True
159015,159015AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Symptoms involving urinary system,1,0,Síntomas urinarios,,,True
158893,158893AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Staphylococcal arthritis and polyarthritis, unspecified site",1,0,Artritis y poliartritis estafilocócica,,,True
158884,158884AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,stab wound of chest,1,0,Herida punzante en el tórax,,,True
158820,158820AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,single live birth,1,0,Un solo nacido vivo,,,True
158794,158794AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Seropositive rheumatoid arthritis, unspecified site",1,0,Artritis reumatoide seropositiva,,,True
158383,158383AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Pneumococcal arthritis and polyarthritis, unspecified site",1,0,Artritis y poliartritis neumocócica,,,True
158236,158236AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pancreas transplant rejection,1,1,Rechazo de trasplante de páncreas,,,True
158184,158184AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,overlapping malignant lesion of female genital organs,1,0,Neoplasia superpuesta maligna de órganos genitales femeninos,,,True
158181,158181AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,overlapping malignant lesion of corpus uteri,1,0,Neoplasia superpuesta maligna del cuerpo uterino,,,True
158017,158017AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,non-odontogenic developmental cyst of jaw,1,0,Quiste mandibular del desarrollo no odontogénico,,,True
157946,157946AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,neoplasm of uncertain or unknown behavior of rectum,1,0,Neoplasia de comportamiento incierto del recto,,,True
157923,157923AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,neoplasm of uncertain or unknown behavior of colon,1,0,Neoplasia de comportamiento incierto del colon,,,True
